,Combo_ID,huc8,Date,DTW,DTW_meters,DTW_Category,Decade
10247838,915491,15010005,2013-05-01,52.0,15.8496,Deep (10-61m),2010
10369919,637021,15010005,2013-10-01,132.2,40.29456,Deep (10-61m),2010
10676627,637021,15010005,2014-10-01,138.7,42.27576,Deep (10-61m),2010
10983335,637021,15010005,2015-10-01,133.5,40.6908,Deep (10-61m),2010
11290043,637021,15010005,2016-10-01,130.6,39.80688,Deep (10-61m),2010
11596751,637021,15010005,2017-10-01,124.6,37.97808,Deep (10-61m),2010
11903459,637021,15010005,2018-10-01,129.1,39.34968,Deep (10-61m),2010
12210167,637021,15010005,2019-10-01,129.3,39.41064000000001,Deep (10-61m),2010
12516875,637021,15010005,2020-10-01,136.1,41.48328,Deep (10-61m),2020
12746906,637021,15010005,2021-07-01,126.8,38.64864,Deep (10-61m),2020
12823583,637021,15010005,2021-10-01,134.2,40.90416,Deep (10-61m),2020
12849142,637021,15010005,2021-11-01,129.5,39.4716,Deep (10-61m),2020
12951378,637021,15010005,2022-03-01,116.5,35.5092,Deep (10-61m),2020
13002496,637021,15010005,2022-05-01,102.5,31.242,Deep (10-61m),2020
13028055,637021,15010005,2022-06-01,125.0,38.1,Deep (10-61m),2020
13130291,637021,15010005,2022-10-01,136.9,41.727120000000006,Deep (10-61m),2020
13181409,637021,15010005,2022-12-01,117.2,35.72256,Deep (10-61m),2020
13258086,637021,15010005,2023-03-01,148.8,45.354240000000004,Deep (10-61m),2020
13411440,637021,15010005,2023-09-01,126.9,38.679120000000005,Deep (10-61m),2020
13436999,637021,15010005,2023-10-01,149.9,45.68952,Deep (10-61m),2020
13488117,637021,15010005,2023-12-01,131.8,40.17264000000001,Deep (10-61m),2020
1895502,510048,15010006,1986-03-01,0.0,0.0,Near Surface (<2m),1980
2226418,363620113565501,15010006,1987-04-01,8.5,2.5908,Very Shallow (2-5m),1980
3325455,363620113565501,15010006,1990-11-01,59.21,18.047208,Deep (10-61m),1990
3606604,363620113565501,15010006,1991-10-01,55.3,16.85544,Deep (10-61m),1990
3913312,363620113565501,15010006,1992-10-01,9.4,2.86512,Very Shallow (2-5m),1990
4220020,363620113565501,15010006,1993-10-01,5.8,1.76784,Near Surface (<2m),1990
4552287,363620113565501,15010006,1994-11-01,15.3,4.6634400000000005,Very Shallow (2-5m),1990
5140144,363620113565501,15010006,1996-10-01,12.3,3.7490400000000004,Very Shallow (2-5m),1990
5446852,363620113565501,15010006,1997-10-01,5.8,1.76784,Near Surface (<2m),1990
5753560,363620113565501,15010006,1998-10-01,6.8,2.0726400000000003,Very Shallow (2-5m),1990
6060268,363620113565501,15010006,1999-10-01,8.1,2.46888,Very Shallow (2-5m),1990
6366976,363620113565501,15010006,2000-10-01,11.69,3.563112,Very Shallow (2-5m),2000
6673684,363620113565501,15010006,2001-10-01,7.8,2.37744,Very Shallow (2-5m),2000
6980392,363620113565501,15010006,2002-10-01,15.89,4.843272000000001,Very Shallow (2-5m),2000
7287100,363620113565501,15010006,2003-10-01,21.4,6.52272,Shallow (5-10m),2000
7593808,363620113565501,15010006,2004-10-01,30.7,9.35736,Shallow (5-10m),2000
7900516,363620113565501,15010006,2005-10-01,4.7,1.43256,Near Surface (<2m),2000
8207224,363620113565501,15010006,2006-10-01,4.0,1.2192,Near Surface (<2m),2000
8513932,363620113565501,15010006,2007-10-01,6.9,2.10312,Very Shallow (2-5m),2000
8820640,363620113565501,15010006,2008-10-01,8.8,2.68224,Very Shallow (2-5m),2000
9127348,363620113565501,15010006,2009-10-01,10.0,3.048,Very Shallow (2-5m),2000
9434056,363620113565501,15010006,2010-10-01,9.27,2.8254960000000002,Very Shallow (2-5m),2010
9740764,363620113565501,15010006,2011-10-01,5.78,1.7617440000000002,Near Surface (<2m),2010
10354180,363620113565501,15010006,2013-10-01,6.4,1.9507200000000002,Near Surface (<2m),2010
10660888,363620113565501,15010006,2014-10-01,6.5,1.9812,Near Surface (<2m),2010
10967596,363620113565501,15010006,2015-10-01,4.9,1.4935200000000002,Near Surface (<2m),2010
11274304,363620113565501,15010006,2016-10-01,8.2,2.49936,Very Shallow (2-5m),2010
11581012,363620113565501,15010006,2017-10-01,7.3,2.22504,Very Shallow (2-5m),2010
11887720,363620113565501,15010006,2018-10-01,9.3,2.8346400000000003,Very Shallow (2-5m),2010
12194428,363620113565501,15010006,2019-10-01,9.1,2.77368,Very Shallow (2-5m),2010
12501136,363620113565501,15010006,2020-10-01,9.1,2.77368,Very Shallow (2-5m),2020
12731167,363620113565501,15010006,2021-07-01,25.8,7.863840000000001,Shallow (5-10m),2020
12807844,363620113565501,15010006,2021-10-01,20.3,6.1874400000000005,Shallow (5-10m),2020
12858962,363620113565501,15010006,2021-12-01,21.8,6.644640000000001,Shallow (5-10m),2020
12935639,363620113565501,15010006,2022-03-01,23.3,7.10184,Shallow (5-10m),2020
12986757,363620113565501,15010006,2022-05-01,21.5,6.5532,Shallow (5-10m),2020
13012316,363620113565501,15010006,2022-06-01,22.8,6.949440000000001,Shallow (5-10m),2020
13114552,363620113565501,15010006,2022-10-01,9.4,2.86512,Very Shallow (2-5m),2020
13165670,363620113565501,15010006,2022-12-01,10.0,3.048,Very Shallow (2-5m),2020
13242347,363620113565501,15010006,2023-03-01,0.5,0.1524,Near Surface (<2m),2020
13344583,363620113565501,15010006,2023-07-01,7.7,2.34696,Very Shallow (2-5m),2020
13421260,363620113565501,15010006,2023-10-01,6.7,2.04216,Very Shallow (2-5m),2020
13472378,363620113565501,15010006,2023-12-01,8.3,2.5298400000000005,Very Shallow (2-5m),2020
2769,352135113423001,15010007,1980-01-01,76.2,23.22576,Deep (10-61m),1980
2772,352217113395801,15010007,1980-01-01,21.8,6.644640000000001,Shallow (5-10m),1980
2777,352358113390401,15010007,1980-01-01,27.2,8.290560000000001,Shallow (5-10m),1980
42199,625212,15010007,1980-02-01,20.1,6.126480000000001,Shallow (5-10m),1980
53887,352135113423001,15010007,1980-03-01,61.0,18.5928,Deep (10-61m),1980
53899,354629113590501,15010007,1980-03-01,37.8,11.52144,Deep (10-61m),1980
67748,620355,15010007,1980-03-01,24.95,7.60476,Shallow (5-10m),1980
67749,620356,15010007,1980-03-01,14.7,4.48056,Very Shallow (2-5m),1980
67750,623028,15010007,1980-03-01,32.6,9.936480000000001,Shallow (5-10m),1980
69640,633212,15010007,1980-03-01,8.2,2.49936,Very Shallow (2-5m),1980
69650,642156,15010007,1980-03-01,55.6,16.94688,Deep (10-61m),1980
69652,642297,15010007,1980-03-01,70.1,21.36648,Deep (10-61m),1980
79446,352135113423001,15010007,1980-04-01,61.7,18.806160000000002,Deep (10-61m),1980
91494,614901,15010007,1980-04-01,69.3,21.12264,Deep (10-61m),1980
93311,624983,15010007,1980-04-01,58.9,17.95272,Deep (10-61m),1980
386154,352135113423001,15010007,1981-04-01,66.4,20.238720000000004,Deep (10-61m),1980
1205407,505888,15010007,1983-12-01,15.0,4.572,Very Shallow (2-5m),1980
1716590,510270,15010007,1985-08-01,75.0,22.86,Deep (10-61m),1980
1817458,352135113423001,15010007,1985-12-01,67.0,20.4216,Deep (10-61m),1980
1817470,354629113590501,15010007,1985-12-01,87.4,26.639520000000005,Deep (10-61m),1980
1829506,614901,15010007,1985-12-01,62.0,18.8976,Deep (10-61m),1980
1831323,624983,15010007,1985-12-01,53.6,16.33728,Deep (10-61m),1980
1833223,642297,15010007,1985-12-01,79.5,24.2316,Deep (10-61m),1980
1843025,352358113390401,15010007,1986-01-01,32.1,9.784080000000001,Shallow (5-10m),1980
1856879,620356,15010007,1986-01-01,29.6,9.02208,Shallow (5-10m),1980
1856888,625212,15010007,1986-01-01,27.5,8.382,Shallow (5-10m),1980
1858780,642156,15010007,1986-01-01,51.3,15.63624,Deep (10-61m),1980
2238450,614901,15010007,1987-04-01,61.6,18.77568,Deep (10-61m),1980
3151183,524284,15010007,1990-04-01,12.0,3.6576000000000004,Very Shallow (2-5m),1990
3376557,352135113423001,15010007,1991-01-01,91.5,27.889200000000002,Deep (10-61m),1990
3376569,354629113590501,15010007,1991-01-01,90.6,27.61488,Deep (10-61m),1990
3560133,532754,15010007,1991-08-01,0.0,0.0,Near Surface (<2m),1990
3560134,532755,15010007,1991-08-01,0.0,0.0,Near Surface (<2m),1990
3560135,532756,15010007,1991-08-01,0.0,0.0,Near Surface (<2m),1990
3708824,352135113423001,15010007,1992-02-01,90.4,27.55392,Deep (10-61m),1990
3713493,534474,15010007,1992-02-01,50.0,15.24,Deep (10-61m),1990
3913296,352135113423001,15010007,1992-10-01,78.1,23.80488,Deep (10-61m),1990
3925344,614901,15010007,1992-10-01,61.8,18.83664,Deep (10-61m),1990
4220004,352135113423001,15010007,1993-10-01,57.2,17.43456,Deep (10-61m),1990
4302892,541954,15010007,1994-01-01,65.0,19.812,Deep (10-61m),1990
4507366,544826,15010007,1994-09-01,20.0,6.096,Shallow (5-10m),1990
4526712,352135113423001,15010007,1994-10-01,67.3,20.51304,Deep (10-61m),1990
4628948,352135113423001,15010007,1995-02-01,68.1,20.75688,Deep (10-61m),1990
4858979,352135113423001,15010007,1995-11-01,64.7,19.720560000000003,Deep (10-61m),1990
4858987,352358113390401,15010007,1995-11-01,26.4,8.04672,Shallow (5-10m),1990
4858991,354629113590501,15010007,1995-11-01,61.8,18.83664,Deep (10-61m),1990
4865190,541954,15010007,1995-11-01,61.6,18.77568,Deep (10-61m),1990
4871027,614901,15010007,1995-11-01,61.7,18.806160000000002,Deep (10-61m),1990
4872841,620356,15010007,1995-11-01,23.8,7.25424,Shallow (5-10m),1990
4872842,623028,15010007,1995-11-01,34.5,10.515600000000001,Deep (10-61m),1990
4872845,624989,15010007,1995-11-01,52.6,16.03248,Deep (10-61m),1990
4874744,642297,15010007,1995-11-01,73.1,22.28088,Deep (10-61m),1990
4923962,624983,15010007,1996-01-01,51.0,15.5448,Deep (10-61m),1990
4923963,624989,15010007,1996-01-01,52.7,16.06296,Deep (10-61m),1990
5140128,352135113423001,15010007,1996-10-01,73.4,22.372320000000002,Deep (10-61m),1990
5446836,352135113423001,15010007,1997-10-01,85.5,26.0604,Deep (10-61m),1990
5753544,352135113423001,15010007,1998-10-01,91.2,27.797760000000004,Deep (10-61m),1990
5864465,572809,15010007,1999-02-01,134.0,40.8432,Deep (10-61m),1990
5992262,575494,15010007,1999-07-01,140.0,42.672000000000004,Deep (10-61m),1990
6060252,352135113423001,15010007,1999-10-01,92.5,28.194000000000003,Deep (10-61m),1990
6366960,352135113423001,15010007,2000-10-01,94.9,28.925520000000002,Deep (10-61m),2000
6673668,352135113423001,15010007,2001-10-01,97.8,29.809440000000002,Deep (10-61m),2000
6888974,592984,15010007,2002-06-01,70.0,21.336000000000002,Deep (10-61m),2000
6888975,592985,15010007,2002-06-01,57.0,17.3736,Deep (10-61m),2000
7005935,352135113423001,15010007,2002-11-01,102.3,31.18104,Deep (10-61m),2000
7287084,352135113423001,15010007,2003-10-01,104.6,31.88208,Deep (10-61m),2000
7452486,614901,15010007,2004-04-01,59.7,18.19656,Deep (10-61m),2000
7565469,203880,15010007,2004-09-01,46.0,14.020800000000001,Deep (10-61m),2000
7593792,352135113423001,15010007,2004-10-01,107.7,32.82696,Deep (10-61m),2000
7721587,352135113423001,15010007,2005-03-01,47.5,14.478000000000002,Deep (10-61m),2000
7849382,352135113423001,15010007,2005-08-01,46.6,14.20368,Deep (10-61m),2000
7897743,208956,15010007,2005-10-01,54.0,16.4592,Deep (10-61m),2000
7897744,208960,15010007,2005-10-01,22.0,6.7056000000000004,Shallow (5-10m),2000
7900500,352135113423001,15010007,2005-10-01,48.0,14.630400000000002,Deep (10-61m),2000
7977177,352135113423001,15010007,2006-01-01,48.7,14.843760000000001,Deep (10-61m),2000
8207208,352135113423001,15010007,2006-10-01,48.3,14.72184,Deep (10-61m),2000
8462798,352135113423001,15010007,2007-08-01,66.3,20.20824,Deep (10-61m),2000
8513916,352135113423001,15010007,2007-10-01,64.5,19.6596,Deep (10-61m),2000
8565034,352135113423001,15010007,2007-12-01,68.9,21.00072,Deep (10-61m),2000
8590593,352135113423001,15010007,2008-01-01,71.0,21.640800000000002,Deep (10-61m),2000
8637616,908481,15010007,2008-02-01,25.0,7.62,Shallow (5-10m),2000
8995443,910620,15010007,2009-04-01,15.0,4.572,Very Shallow (2-5m),2000
9127332,352135113423001,15010007,2009-10-01,91.1,27.76728,Deep (10-61m),2000
9434040,352135113423001,15010007,2010-10-01,99.0,30.1752,Deep (10-61m),2010
9740748,352135113423001,15010007,2011-10-01,103.7,31.607760000000003,Deep (10-61m),2010
10073015,352135113423001,15010007,2012-11-01,105.82,32.253936,Deep (10-61m),2010
10354164,352135113423001,15010007,2013-10-01,110.1,33.55848,Deep (10-61m),2010
10660872,352135113423001,15010007,2014-10-01,109.7,33.43656,Deep (10-61m),2010
10836601,918059,15010007,2015-04-01,72.0,21.945600000000002,Deep (10-61m),2010
10967580,352135113423001,15010007,2015-10-01,111.7,34.04616,Deep (10-61m),2010
10989956,918794,15010007,2015-10-01,90.0,27.432000000000002,Deep (10-61m),2010
11698997,642297,15010007,2018-02-01,108.9,33.19272,Deep (10-61m),2010
22971,809440,15010009,1980-01-01,26.0,7.9248,Shallow (5-10m),1980
71808,644936,15010009,1980-03-01,8.0,2.4384,Very Shallow (2-5m),1980
222998,637620,15010009,1980-09-01,33.0,10.0584,Deep (10-61m),1980
281149,85730,15010009,1980-12-01,9.0,2.7432000000000003,Very Shallow (2-5m),1980
295956,607969,15010009,1980-12-01,12.0,3.6576000000000004,Very Shallow (2-5m),1980
2306008,518316,15010009,1987-07-01,20.0,6.096,Shallow (5-10m),1980
2357128,518921,15010009,1987-09-01,0.0,0.0,Near Surface (<2m),1980
2357129,518923,15010009,1987-09-01,0.0,0.0,Near Surface (<2m),1980
2357130,518924,15010009,1987-09-01,0.0,0.0,Near Surface (<2m),1980
2587163,520730,15010009,1988-06-01,21.0,6.4008,Shallow (5-10m),1980
3202304,527829,15010009,1990-06-01,22.0,6.7056000000000004,Shallow (5-10m),1990
3764608,533580,15010009,1992-04-01,35.0,10.668000000000001,Deep (10-61m),1990
