,Combo_ID,huc8,Date,DTW,DTW_meters,DTW_Category,Decade
8147942,370119110181401,14080205,1998-04-01,15.0,4.572,Very Shallow (2-5m),1990
8371058,370119110181401,14080205,1998-10-01,15.0,4.572,Very Shallow (2-5m),1990
8631360,370119110181401,14080205,1999-05-01,14.0,4.2672,Very Shallow (2-5m),1990
8742918,370119110181401,14080205,1999-08-01,15.0,4.572,Very Shallow (2-5m),1990
8854476,370119110181401,14080205,1999-11-01,13.0,3.9624,Very Shallow (2-5m),1990
8966034,370119110181401,14080205,2000-02-01,14.0,4.2672,Very Shallow (2-5m),2000
9040406,370119110181401,14080205,2000-04-01,14.0,4.2672,Very Shallow (2-5m),2000
9189150,370119110181401,14080205,2000-08-01,16.0,4.8768,Very Shallow (2-5m),2000
9337894,370119110181401,14080205,2000-12-01,15.4,4.69392,Very Shallow (2-5m),2000
9486638,370119110181401,14080205,2001-04-01,14.0,4.2672,Very Shallow (2-5m),2000
9672568,370119110181401,14080205,2001-09-01,15.0,4.572,Very Shallow (2-5m),2000
9784126,370119110181401,14080205,2001-12-01,14.0,4.2672,Very Shallow (2-5m),2000
9895684,370119110181401,14080205,2002-03-01,14.0,4.2672,Very Shallow (2-5m),2000
10007242,370119110181401,14080205,2002-06-01,17.0,5.1816,Shallow (5-10m),2000
10044428,370119110181401,14080205,2002-07-01,15.0,4.572,Very Shallow (2-5m),2000
10081614,370119110181401,14080205,2002-08-01,14.0,4.2672,Very Shallow (2-5m),2000
10118800,370119110181401,14080205,2002-09-01,15.0,4.572,Very Shallow (2-5m),2000
10155986,370119110181401,14080205,2002-10-01,16.0,4.8768,Very Shallow (2-5m),2000
10304730,370119110181401,14080205,2003-02-01,15.0,4.572,Very Shallow (2-5m),2000
10379102,370119110181401,14080205,2003-04-01,14.0,4.2672,Very Shallow (2-5m),2000
10453474,370119110181401,14080205,2003-06-01,15.0,4.572,Very Shallow (2-5m),2000
10490660,370119110181401,14080205,2003-07-01,17.1,5.21208,Shallow (5-10m),2000
10527846,370119110181401,14080205,2003-08-01,17.0,5.1816,Shallow (5-10m),2000
10565032,370119110181401,14080205,2003-09-01,15.0,4.572,Very Shallow (2-5m),2000
10602218,370119110181401,14080205,2003-10-01,16.0,4.8768,Very Shallow (2-5m),2000
10639404,370119110181401,14080205,2003-11-01,13.5,4.1148,Very Shallow (2-5m),2000
10676590,370119110181401,14080205,2003-12-01,14.0,4.2672,Very Shallow (2-5m),2000
10750962,370119110181401,14080205,2004-02-01,15.0,4.572,Very Shallow (2-5m),2000
10788148,370119110181401,14080205,2004-03-01,13.0,3.9624,Very Shallow (2-5m),2000
10825334,370119110181401,14080205,2004-04-01,14.0,4.2672,Very Shallow (2-5m),2000
10862520,370119110181401,14080205,2004-05-01,13.0,3.9624,Very Shallow (2-5m),2000
10936892,370119110181401,14080205,2004-07-01,14.0,4.2672,Very Shallow (2-5m),2000
10974078,370119110181401,14080205,2004-08-01,14.0,4.2672,Very Shallow (2-5m),2000
11011264,370119110181401,14080205,2004-09-01,13.0,3.9624,Very Shallow (2-5m),2000
3875695,521955,15010001,1988-09-01,0.0,0.0,Near Surface (<2m),1980
3875696,521956,15010001,1988-09-01,0.0,0.0,Near Surface (<2m),1980
4473220,526708,15010001,1990-01-01,0.0,0.0,Near Surface (<2m),1990
4510405,526707,15010001,1990-02-01,0.0,0.0,Near Surface (<2m),1990
7563970,558318,15010001,1996-12-01,24.0,7.315200000000001,Shallow (5-10m),1990
7563971,558319,15010001,1996-12-01,24.0,7.315200000000001,Shallow (5-10m),1990
17104917,921252,15010001,2018-04-01,28.0,8.5344,Shallow (5-10m),2010
17104919,921254,15010001,2018-04-01,28.0,8.5344,Shallow (5-10m),2010
17104916,921252,15010002,2018-04-01,28.0,8.5344,Shallow (5-10m),2010
17104918,921254,15010002,2018-04-01,28.0,8.5344,Shallow (5-10m),2010
2685737,512750,15010003,1986-01-01,30.0,9.144,Shallow (5-10m),1980
2722924,513585,15010003,1986-02-01,0.0,0.0,Near Surface (<2m),1980
3057599,514725,15010003,1986-11-01,0.0,0.0,Near Surface (<2m),1980
3206344,515983,15010003,1987-03-01,0.0,0.0,Near Surface (<2m),1980
3838507,521579,15010003,1988-08-01,0.0,0.0,Near Surface (<2m),1980
3838508,521833,15010003,1988-08-01,0.0,0.0,Near Surface (<2m),1980
4436032,526281,15010003,1989-12-01,66.0,20.1168,Deep (10-61m),1980
4547594,527558,15010003,1990-03-01,0.0,0.0,Near Surface (<2m),1990
4584781,527559,15010003,1990-04-01,51.0,15.5448,Deep (10-61m),1990
4659151,526741,15010003,1990-06-01,33.0,10.0584,Deep (10-61m),1990
4659154,528195,15010003,1990-06-01,50.0,15.24,Deep (10-61m),1990
5142573,532251,15010003,1991-07-01,16.0,4.8768,Very Shallow (2-5m),1990
5142574,532252,15010003,1991-07-01,16.0,4.8768,Very Shallow (2-5m),1990
5142575,532368,15010003,1991-07-01,12.0,3.6576000000000004,Very Shallow (2-5m),1990
5142576,532369,15010003,1991-07-01,12.0,3.6576000000000004,Very Shallow (2-5m),1990
6186054,540990,15010003,1993-11-01,12.0,3.6576000000000004,Very Shallow (2-5m),1990
6186055,540991,15010003,1993-11-01,12.0,3.6576000000000004,Very Shallow (2-5m),1990
6520730,542897,15010003,1994-08-01,15.0,4.572,Very Shallow (2-5m),1990
6520731,542898,15010003,1994-08-01,15.0,4.572,Very Shallow (2-5m),1990
6520732,542899,15010003,1994-08-01,15.0,4.572,Very Shallow (2-5m),1990
6818221,547993,15010003,1995-04-01,0.0,0.0,Near Surface (<2m),1990
7563969,556288,15010003,1996-12-01,22.0,6.7056000000000004,Shallow (5-10m),1990
7935832,562853,15010003,1997-10-01,35.0,10.668000000000001,Deep (10-61m),1990
12384249,215363,15010003,2007-10-01,0.0,0.0,Near Surface (<2m),2000
14429480,221354,15010003,2012-05-01,42.0,12.8016,Deep (10-61m),2010
16398381,919879,15010003,2016-09-01,30.0,9.144,Shallow (5-10m),2010
175672,637698,15010004,1980-05-01,10.0,3.048,Very Shallow (2-5m),1980
706537,87790,15010004,1981-08-01,12.0,3.6576000000000004,Very Shallow (2-5m),1980
1121657,502417,15010004,1982-07-01,7.0,2.1336,Very Shallow (2-5m),1980
1419146,504842,15010004,1983-03-01,0.0,0.0,Near Surface (<2m),1980
1530705,505520,15010004,1983-06-01,0.0,0.0,Near Surface (<2m),1980
2051311,508731,15010004,1984-08-01,0.0,0.0,Near Surface (<2m),1980
2462629,511679,15010004,1985-07-01,0.0,0.0,Near Surface (<2m),1980
3317909,515027,15010004,1987-06-01,0.0,0.0,Near Surface (<2m),1980
3317910,517576,15010004,1987-06-01,0.0,0.0,Near Surface (<2m),1980
3317912,518000,15010004,1987-06-01,0.0,0.0,Near Surface (<2m),1980
3317913,518001,15010004,1987-06-01,0.0,0.0,Near Surface (<2m),1980
3392286,518003,15010004,1987-08-01,0.0,0.0,Near Surface (<2m),1980
3392287,518004,15010004,1987-08-01,0.0,0.0,Near Surface (<2m),1980
3392288,518005,15010004,1987-08-01,0.0,0.0,Near Surface (<2m),1980
3392290,518385,15010004,1987-08-01,0.0,0.0,Near Surface (<2m),1980
3726968,520641,15010004,1988-05-01,0.0,0.0,Near Surface (<2m),1980
3801341,520696,15010004,1988-07-01,0.0,0.0,Near Surface (<2m),1980
3801344,521302,15010004,1988-07-01,0.0,0.0,Near Surface (<2m),1980
3838531,521303,15010004,1988-08-01,0.0,0.0,Near Surface (<2m),1980
3838532,521746,15010004,1988-08-01,10.0,3.048,Very Shallow (2-5m),1980
3838533,521805,15010004,1988-08-01,0.0,0.0,Near Surface (<2m),1980
3875720,522308,15010004,1988-09-01,8.0,2.4384,Very Shallow (2-5m),1980
3875721,522345,15010004,1988-09-01,0.0,0.0,Near Surface (<2m),1980
3912908,522346,15010004,1988-10-01,0.0,0.0,Near Surface (<2m),1980
3912909,522414,15010004,1988-10-01,0.0,0.0,Near Surface (<2m),1980
4247584,523637,15010004,1989-07-01,0.0,0.0,Near Surface (<2m),1980
4250114,524855,15010004,1989-07-01,0.0,0.0,Near Surface (<2m),1980
4250115,524857,15010004,1989-07-01,0.0,0.0,Near Surface (<2m),1980
4547606,527332,15010004,1990-03-01,0.0,0.0,Near Surface (<2m),1990
4621980,527922,15010004,1990-05-01,0.0,0.0,Near Surface (<2m),1990
4807911,528646,15010004,1990-10-01,0.0,0.0,Near Surface (<2m),1990
5216959,532709,15010004,1991-09-01,10.0,3.048,Very Shallow (2-5m),1990
5216960,532710,15010004,1991-09-01,10.0,3.048,Very Shallow (2-5m),1990
5216961,532711,15010004,1991-09-01,10.0,3.048,Very Shallow (2-5m),1990
5216962,532712,15010004,1991-09-01,10.0,3.048,Very Shallow (2-5m),1990
5440083,534464,15010004,1992-03-01,18.0,5.486400000000001,Shallow (5-10m),1990
5440084,534465,15010004,1992-03-01,10.0,3.048,Very Shallow (2-5m),1990
6111688,540334,15010004,1993-09-01,9.0,2.7432000000000003,Very Shallow (2-5m),1990
6111689,540335,15010004,1993-09-01,9.0,2.7432000000000003,Very Shallow (2-5m),1990
6111690,540336,15010004,1993-09-01,9.0,2.7432000000000003,Very Shallow (2-5m),1990
6111691,540337,15010004,1993-09-01,9.0,2.7432000000000003,Very Shallow (2-5m),1990
6111692,540338,15010004,1993-09-01,9.0,2.7432000000000003,Very Shallow (2-5m),1990
6111693,540339,15010004,1993-09-01,9.0,2.7432000000000003,Very Shallow (2-5m),1990
6111694,540340,15010004,1993-09-01,9.0,2.7432000000000003,Very Shallow (2-5m),1990
6409186,543712,15010004,1994-05-01,0.0,0.0,Near Surface (<2m),1990
6409187,543826,15010004,1994-05-01,3.0,0.9144000000000001,Near Surface (<2m),1990
6669485,541856,15010004,1994-12-01,0.0,0.0,Near Surface (<2m),1990
7601162,559760,15010004,1997-01-01,132.0,40.2336,Deep (10-61m),1990
9649700,588026,15010004,2001-08-01,18.0,5.486400000000001,Shallow (5-10m),2000
10432134,598256,15010004,2003-05-01,5.0,1.524,Near Surface (<2m),2000
10895504,203731,15010004,2004-06-01,30.0,9.144,Shallow (5-10m),2000
10969879,204576,15010004,2004-08-01,13.0,3.9624,Very Shallow (2-5m),2000
10969880,204577,15010004,2004-08-01,13.0,3.9624,Very Shallow (2-5m),2000
10969881,204578,15010004,2004-08-01,13.0,3.9624,Very Shallow (2-5m),2000
10969882,204579,15010004,2004-08-01,13.0,3.9624,Very Shallow (2-5m),2000
10969883,204580,15010004,2004-08-01,13.0,3.9624,Very Shallow (2-5m),2000
11151916,901244,15010004,2004-12-01,22.0,6.7056000000000004,Shallow (5-10m),2000
11375033,902410,15010004,2005-06-01,16.0,4.8768,Very Shallow (2-5m),2000
11897409,905276,15010004,2006-08-01,8.0,2.4384,Very Shallow (2-5m),2000
11971783,905777,15010004,2006-10-01,25.0,7.62,Shallow (5-10m),2000
11971784,905778,15010004,2006-10-01,31.0,9.4488,Shallow (5-10m),2000
12418017,908054,15010004,2007-10-01,12.0,3.6576000000000004,Very Shallow (2-5m),2000
12529576,908331,15010004,2008-01-01,3.0,0.9144000000000001,Near Surface (<2m),2000
12864252,909846,15010004,2008-10-01,37.0,11.277600000000001,Deep (10-61m),2000
14091394,913475,15010004,2011-07-01,14.0,4.2672,Very Shallow (2-5m),2010
14351697,914100,15010004,2012-02-01,35.0,10.668000000000001,Deep (10-61m),2010
17216484,921911,15010004,2018-07-01,65.0,19.812,Deep (10-61m),2010
17253671,921993,15010004,2018-08-01,135.0,41.148,Deep (10-61m),2010
19712799,352343111580701,15010004,2024-03-01,6.1,1.85928,Near Surface (<2m),2020
19738562,644467,15010004,2024-03-01,7.9,2.4079200000000003,Very Shallow (2-5m),2020
19738574,646927,15010004,2024-03-01,2.8,0.85344,Near Surface (<2m),2020
138483,637021,15010005,1980-04-01,135.9,41.422320000000006,Deep (10-61m),1980
1992716,614902,15010005,1984-06-01,7.57,2.3073360000000003,Very Shallow (2-5m),1980
1992717,614903,15010005,1984-06-01,14.8,4.51104,Very Shallow (2-5m),1980
2667131,637021,15010005,1985-12-01,137.3,41.84904,Deep (10-61m),1980
3257040,614902,15010005,1987-04-01,8.4,2.5603200000000004,Very Shallow (2-5m),1980
3257041,614903,15010005,1987-04-01,15.3,4.6634400000000005,Very Shallow (2-5m),1980
3259584,629085,15010005,1987-04-01,22.8,6.949440000000001,Shallow (5-10m),1980
4935477,637021,15010005,1991-01-01,134.0,40.8432,Deep (10-61m),1990
7087198,614902,15010005,1995-11-01,2.8,0.85344,Near Surface (<2m),1990
7087199,614903,15010005,1995-11-01,9.4,2.86512,Very Shallow (2-5m),1990
7089742,629085,15010005,1995-11-01,44.6,13.594080000000002,Deep (10-61m),1990
7092265,637021,15010005,1995-11-01,134.3,40.93464000000001,Deep (10-61m),1990
10023084,592082,15010005,2002-06-01,0.0,0.0,Near Surface (<2m),2000
10810865,637021,15010005,2004-03-01,134.0,40.8432,Deep (10-61m),2000
11626434,629085,15010005,2006-01-01,111.3,33.92424,Deep (10-61m),2000
11777701,637021,15010005,2006-05-01,131.3,40.02024000000001,Deep (10-61m),2000
11963631,637021,15010005,2006-10-01,133.3,40.62984000000001,Deep (10-61m),2000
12484235,637021,15010005,2007-12-01,133.1,40.56888,Deep (10-61m),2000
12856095,637021,15010005,2008-10-01,133.8,40.78224000000001,Deep (10-61m),2000
13302327,637021,15010005,2009-10-01,133.4,40.660320000000006,Deep (10-61m),2000
13748559,637021,15010005,2010-10-01,133.5,40.6908,Deep (10-61m),2010
14194791,637021,15010005,2011-10-01,133.1,40.56888,Deep (10-61m),2010
14678209,637021,15010005,2012-11-01,133.0,40.5384,Deep (10-61m),2010
14909488,915491,15010005,2013-05-01,52.0,15.8496,Deep (10-61m),2010
15087255,637021,15010005,2013-10-01,132.2,40.29456,Deep (10-61m),2010
15533487,637021,15010005,2014-10-01,138.7,42.27576,Deep (10-61m),2010
15979719,637021,15010005,2015-10-01,133.5,40.6908,Deep (10-61m),2010
16425951,637021,15010005,2016-10-01,130.6,39.80688,Deep (10-61m),2010
16872183,637021,15010005,2017-10-01,124.6,37.97808,Deep (10-61m),2010
17318415,637021,15010005,2018-10-01,129.1,39.34968,Deep (10-61m),2010
17764647,637021,15010005,2019-10-01,129.3,39.41064000000001,Deep (10-61m),2010
18210879,637021,15010005,2020-10-01,136.1,41.48328,Deep (10-61m),2020
18545553,637021,15010005,2021-07-01,126.8,38.64864,Deep (10-61m),2020
18657111,637021,15010005,2021-10-01,134.2,40.90416,Deep (10-61m),2020
18694297,637021,15010005,2021-11-01,129.5,39.4716,Deep (10-61m),2020
18843041,637021,15010005,2022-03-01,116.5,35.5092,Deep (10-61m),2020
18917413,637021,15010005,2022-05-01,102.5,31.242,Deep (10-61m),2020
18954599,637021,15010005,2022-06-01,125.0,38.1,Deep (10-61m),2020
19103343,637021,15010005,2022-10-01,136.9,41.727120000000006,Deep (10-61m),2020
19177715,637021,15010005,2022-12-01,117.2,35.72256,Deep (10-61m),2020
19289273,637021,15010005,2023-03-01,148.8,45.354240000000004,Deep (10-61m),2020
19512389,637021,15010005,2023-09-01,126.9,38.679120000000005,Deep (10-61m),2020
19549575,637021,15010005,2023-10-01,149.9,45.68952,Deep (10-61m),2020
19623947,637021,15010005,2023-12-01,131.8,40.17264000000001,Deep (10-61m),2020
2757846,510048,15010006,1986-03-01,0.0,0.0,Near Surface (<2m),1980
2908862,512670,15010006,1986-07-01,0.0,0.0,Near Surface (<2m),1980
3239412,363620113565501,15010006,1987-04-01,8.5,2.5908,Very Shallow (2-5m),1980
3503841,517819,15010006,1987-11-01,0.0,0.0,Near Surface (<2m),1980
4838410,363620113565501,15010006,1990-11-01,59.21,18.047208,Deep (10-61m),1990
5247456,363620113565501,15010006,1991-10-01,55.3,16.85544,Deep (10-61m),1990
5693688,363620113565501,15010006,1992-10-01,9.4,2.86512,Very Shallow (2-5m),1990
6139920,363620113565501,15010006,1993-10-01,5.8,1.76784,Near Surface (<2m),1990
6623338,363620113565501,15010006,1994-11-01,15.3,4.6634400000000005,Very Shallow (2-5m),1990
7004167,550320,15010006,1995-09-01,53.0,16.154400000000003,Deep (10-61m),1990
7478616,363620113565501,15010006,1996-10-01,12.3,3.7490400000000004,Very Shallow (2-5m),1990
7924848,363620113565501,15010006,1997-10-01,5.8,1.76784,Near Surface (<2m),1990
8371080,363620113565501,15010006,1998-10-01,6.8,2.0726400000000003,Very Shallow (2-5m),1990
8817312,363620113565501,15010006,1999-10-01,8.1,2.46888,Very Shallow (2-5m),1990
9263544,363620113565501,15010006,2000-10-01,11.69,3.563112,Very Shallow (2-5m),2000
9709776,363620113565501,15010006,2001-10-01,7.8,2.37744,Very Shallow (2-5m),2000
10156008,363620113565501,15010006,2002-10-01,15.89,4.843272000000001,Very Shallow (2-5m),2000
10602240,363620113565501,15010006,2003-10-01,21.4,6.52272,Shallow (5-10m),2000
11048472,363620113565501,15010006,2004-10-01,30.7,9.35736,Shallow (5-10m),2000
11494704,363620113565501,15010006,2005-10-01,4.7,1.43256,Near Surface (<2m),2000
11940936,363620113565501,15010006,2006-10-01,4.0,1.2192,Near Surface (<2m),2000
12387168,363620113565501,15010006,2007-10-01,6.9,2.10312,Very Shallow (2-5m),2000
12833400,363620113565501,15010006,2008-10-01,8.8,2.68224,Very Shallow (2-5m),2000
13279632,363620113565501,15010006,2009-10-01,10.0,3.048,Very Shallow (2-5m),2000
13725864,363620113565501,15010006,2010-10-01,9.27,2.8254960000000002,Very Shallow (2-5m),2010
14172096,363620113565501,15010006,2011-10-01,5.78,1.7617440000000002,Near Surface (<2m),2010
15064560,363620113565501,15010006,2013-10-01,6.4,1.9507200000000002,Near Surface (<2m),2010
15510792,363620113565501,15010006,2014-10-01,6.5,1.9812,Near Surface (<2m),2010
15957024,363620113565501,15010006,2015-10-01,4.9,1.4935200000000002,Near Surface (<2m),2010
16403256,363620113565501,15010006,2016-10-01,8.2,2.49936,Very Shallow (2-5m),2010
16849488,363620113565501,15010006,2017-10-01,7.3,2.22504,Very Shallow (2-5m),2010
17295720,363620113565501,15010006,2018-10-01,9.3,2.8346400000000003,Very Shallow (2-5m),2010
17741952,363620113565501,15010006,2019-10-01,9.1,2.77368,Very Shallow (2-5m),2010
18188184,363620113565501,15010006,2020-10-01,9.1,2.77368,Very Shallow (2-5m),2020
18522858,363620113565501,15010006,2021-07-01,25.8,7.863840000000001,Shallow (5-10m),2020
18634416,363620113565501,15010006,2021-10-01,20.3,6.1874400000000005,Shallow (5-10m),2020
18708788,363620113565501,15010006,2021-12-01,21.8,6.644640000000001,Shallow (5-10m),2020
18820346,363620113565501,15010006,2022-03-01,23.3,7.10184,Shallow (5-10m),2020
18894718,363620113565501,15010006,2022-05-01,21.5,6.5532,Shallow (5-10m),2020
18931904,363620113565501,15010006,2022-06-01,22.8,6.949440000000001,Shallow (5-10m),2020
19080648,363620113565501,15010006,2022-10-01,9.4,2.86512,Very Shallow (2-5m),2020
19155020,363620113565501,15010006,2022-12-01,10.0,3.048,Very Shallow (2-5m),2020
19266578,363620113565501,15010006,2023-03-01,0.5,0.1524,Near Surface (<2m),2020
19415322,363620113565501,15010006,2023-07-01,7.7,2.34696,Very Shallow (2-5m),2020
19526880,363620113565501,15010006,2023-10-01,6.7,2.04216,Very Shallow (2-5m),2020
19601252,363620113565501,15010006,2023-12-01,8.3,2.5298400000000005,Very Shallow (2-5m),2020
4211,352135113423001,15010007,1980-01-01,76.2,23.22576,Deep (10-61m),1980
4214,352217113395801,15010007,1980-01-01,21.8,6.644640000000001,Shallow (5-10m),1980
4220,352358113390401,15010007,1980-01-01,27.2,8.290560000000001,Shallow (5-10m),1980
61571,625212,15010007,1980-02-01,20.1,6.126480000000001,Shallow (5-10m),1980
78583,352135113423001,15010007,1980-03-01,61.0,18.5928,Deep (10-61m),1980
78597,354629113590501,15010007,1980-03-01,37.8,11.52144,Deep (10-61m),1980
98746,620355,15010007,1980-03-01,24.95,7.60476,Shallow (5-10m),1980
98747,620356,15010007,1980-03-01,14.7,4.48056,Very Shallow (2-5m),1980
98749,623028,15010007,1980-03-01,32.6,9.936480000000001,Shallow (5-10m),1980
101295,633212,15010007,1980-03-01,8.2,2.49936,Very Shallow (2-5m),1980
101306,642156,15010007,1980-03-01,55.6,16.94688,Deep (10-61m),1980
101308,642297,15010007,1980-03-01,70.1,21.36648,Deep (10-61m),1980
115769,352135113423001,15010007,1980-04-01,61.7,18.806160000000002,Deep (10-61m),1980
133415,614901,15010007,1980-04-01,69.3,21.12264,Deep (10-61m),1980
135937,624983,15010007,1980-04-01,58.9,17.95272,Deep (10-61m),1980
173120,620405,15010007,1980-05-01,65.0,19.812,Deep (10-61m),1980
562001,352135113423001,15010007,1981-04-01,66.4,20.238720000000004,Deep (10-61m),1980
1753822,505888,15010007,1983-12-01,15.0,4.572,Very Shallow (2-5m),1980
2497545,510270,15010007,1985-08-01,75.0,22.86,Deep (10-61m),1980
2644417,352135113423001,15010007,1985-12-01,67.0,20.4216,Deep (10-61m),1980
2644431,354629113590501,15010007,1985-12-01,87.4,26.639520000000005,Deep (10-61m),1980
2662063,614901,15010007,1985-12-01,62.0,18.8976,Deep (10-61m),1980
2664585,624983,15010007,1985-12-01,53.6,16.33728,Deep (10-61m),1980
2667142,642297,15010007,1985-12-01,79.5,24.2316,Deep (10-61m),1980
2681612,352358113390401,15010007,1986-01-01,32.1,9.784080000000001,Shallow (5-10m),1980
2701767,620356,15010007,1986-01-01,29.6,9.02208,Shallow (5-10m),1980
2701777,625212,15010007,1986-01-01,27.5,8.382,Shallow (5-10m),1980
2704326,642156,15010007,1986-01-01,51.3,15.63624,Deep (10-61m),1980
3257039,614901,15010007,1987-04-01,61.6,18.77568,Deep (10-61m),1980
4136027,523954,15010007,1989-04-01,0.0,0.0,Near Surface (<2m),1980
4173214,523956,15010007,1989-05-01,0.0,0.0,Near Surface (<2m),1980
4361674,526047,15010007,1989-10-01,40.0,12.192,Deep (10-61m),1980
4584787,524284,15010007,1990-04-01,12.0,3.6576000000000004,Very Shallow (2-5m),1990
4912763,352135113423001,15010007,1991-01-01,91.5,27.889200000000002,Deep (10-61m),1990
4912777,354629113590501,15010007,1991-01-01,90.6,27.61488,Deep (10-61m),1990
5031028,531579,15010007,1991-04-01,61.0,18.5928,Deep (10-61m),1990
5179777,532754,15010007,1991-08-01,0.0,0.0,Near Surface (<2m),1990
5179778,532755,15010007,1991-08-01,0.0,0.0,Near Surface (<2m),1990
5179779,532756,15010007,1991-08-01,0.0,0.0,Near Surface (<2m),1990
5396181,352135113423001,15010007,1992-02-01,90.4,27.55392,Deep (10-61m),1990
5402899,534474,15010007,1992-02-01,50.0,15.24,Deep (10-61m),1990
5693669,352135113423001,15010007,1992-10-01,78.1,23.80488,Deep (10-61m),1990
5711315,614901,15010007,1992-10-01,61.8,18.83664,Deep (10-61m),1990
6139901,352135113423001,15010007,1993-10-01,57.2,17.43456,Deep (10-61m),1990
6260440,541954,15010007,1994-01-01,65.0,19.812,Deep (10-61m),1990
6557933,544826,15010007,1994-09-01,20.0,6.096,Shallow (5-10m),1990
6586133,352135113423001,15010007,1994-10-01,67.3,20.51304,Deep (10-61m),1990
6734877,352135113423001,15010007,1995-02-01,68.1,20.75688,Deep (10-61m),1990
7069551,352135113423001,15010007,1995-11-01,64.7,19.720560000000003,Deep (10-61m),1990
7069560,352358113390401,15010007,1995-11-01,26.4,8.04672,Shallow (5-10m),1990
7069565,354629113590501,15010007,1995-11-01,61.8,18.83664,Deep (10-61m),1990
7076252,526047,15010007,1995-11-01,16.9,5.15112,Shallow (5-10m),1990
7078532,541954,15010007,1995-11-01,61.6,18.77568,Deep (10-61m),1990
7087197,614901,15010007,1995-11-01,61.7,18.806160000000002,Deep (10-61m),1990
7089715,620356,15010007,1995-11-01,23.8,7.25424,Shallow (5-10m),1990
7089717,623028,15010007,1995-11-01,34.5,10.515600000000001,Deep (10-61m),1990
7089720,624989,15010007,1995-11-01,52.6,16.03248,Deep (10-61m),1990
7092276,642297,15010007,1995-11-01,73.1,22.28088,Deep (10-61m),1990
7164091,624983,15010007,1996-01-01,51.0,15.5448,Deep (10-61m),1990
